אבו ג'ווייעד (שבט), ב ,4
אבו גוש, ג ,7
אבו סנאן, ב ,5
אבו סריחאן (שבט), ב ,4
אבו עבדון (שבט), ב ,4
אבו עמאר (שבט), ב ,4
אבו עמרה (שבט), ב ,4
אבו קורינאת (שבט), ב ,4
אבו קרינאת (ישוב), ב ,4
אבו רובייעה (שבט), ב ,4
אבו רוקייק (שבט), ב ,4
אבו תלול, ב ,4
אבטין, ב ,5
אבטליון, ב ,3
אביאל, ב ,5
אביבים, ג ,6
אביגדור, ב ,5
אביחיל, א ,1
אביטל, ב ,3
אביעזר, ב ,5
אבירים, ג ,6
אבן יהודה, ב ,5
אבן מנחם, ג ,6
אבן ספיר, ג ,7
אבן שמואל, ב ,5
אבני איתן, ג ,6
אבני חפץ, ב ,5
אבנת, ד ,8
אבשלום, ב ,4
אדורה, ג ,7
אדירים, ב ,3
אדמית, ג ,6
אדרת, ב ,5
אודים, א ,1
אודם, ג ,6
אוהד, ב ,4
אום אל-פחם, ב ,5
אום אל-קוטוף, ב ,5
אום בטין, ב ,4
אומן, ב ,3
אומץ, ב ,5
אופקים, ב ,4
אור הגנוז, ג ,6
אור הנר, ב ,5
אור יהודה, ב ,5
אור עקיבא, א ,2
אורה, ג ,7
אורות, ב ,5
אורטל, ג ,6
אורים, ב ,4
אורנים, ב ,5
אורנית, ב ,5
אושה, ב ,5
אזור, ב ,5
אחווה, ב ,5
אחוזם, ב ,5
אחוזת ברק, ב ,3
אחיהוד, ב ,5
אחיטוב, ב ,5
אחיסמך, ב ,5
אחיעזר, ב ,5
אטרש (שבט), ב ,4
איבים, ב ,5
אייל, ב ,5
איילת השחר, ב ,3
אילון, ב ,5
אילות, ד ,8
אילניה, ב ,3
אילת, ד ,8
אירוס, ב ,5
איתמר, ג ,7
איתן, ב ,5
איתנים, ג ,7
אכסאל, ב ,3
אל-עזי, ב ,5
אל-עריאן, ב ,5
אל-רום, ג ,6
אל סייד, ב ,4
אלומה, ב ,5
אלומות, ד ,8
אלון הגליל, ב ,3
אלון מורה, ג ,7
אלון שבות, ג ,7
אלוני אבא, ב ,3
אלוני הבשן, ג ,6
אלוני יצחק, ב ,5
אלונים, ב ,3
אלי-עד, ג ,6
אליאב, ב ,5
אליכין, ב ,5
אליפז, ד ,8
אליפלט, ב ,3
אליקים, ב ,5
אלישיב, ב ,5
אלישמע, ב ,5
אלמגור, ד ,8
אלמוג, ד ,8
אלעד, ב ,5
אלעזר, ג ,7
אלפי מנשה, ב ,5
אלקוש, ג ,6
אלקנה, ב ,5
אמונים, ב ,5
אמירים, ג ,6
אמנון, ד ,8
אמציה, ב ,5
אניעם, ג ,6
אסד (שבט), ב ,4
אספר, ג ,7
אעבלין, ב ,5
אעצם (שבט), ב ,4
אפיניש (שבט), ב ,4
אפיק, ג ,6
אפיקים, ד ,8
אפק, ב ,5
אפרת, ג ,7
ארבל, ב ,3
ארגמן, ד ,8
ארז, ב ,5
אריאל, ג ,7
ארסוף, א ,1
אשבול, ב ,5
אשבל, ב ,3
אשדוד, א ,1
אשדות יעקב  (איחוד), ד ,8
אשדות יעקב  (מאוחד), ד ,8
אשחר, ב ,3
אשכולות, ג ,7
אשל הנשיא, ב ,4
אשלים, ב ,4
אשקלון, א ,1
אשרת, ב ,5
אשתאול, ב ,5
אתגר, ב ,3
באקה אל-גרביה, ב ,5
באר אורה, ד ,8
באר גנים, א ,1
באר טוביה, ב ,5
באר יעקב, ב ,5
באר מילכה, ב ,4
באר שבע, ב ,4
בארות יצחק, ב ,5
בארותיים, ב ,5
בארי, ב ,5
בוסתן הגליל, א ,2
בועיינה-נוג'ידאת, ב ,3
בוקעאתא, ג ,6
בורגתה, ב ,5
בחן, ב ,5
בטחה, ב ,4
ביצרון, ב ,5
ביר אל-מכסור, ב ,3
ביר הדאג', ב ,4
ביריה, ג ,6
בית אורן, ב ,5
בית אל, ג ,7
בית אלעזרי, ב ,5
בית אלפא, ד ,8
בית אריה, ב ,5
בית ברל, ב ,5
בית ג'ן, ג ,6
בית גוברין, ב ,5
בית גמליאל, ב ,5
בית דגן, ב ,5
בית הגדי, ב ,5
בית הלוי, ב ,5
בית הלל, ב ,3
בית העמק, ב ,5
בית הערבה, ד ,8
בית השיטה, ד ,8
בית זיד, ב ,5
בית זית, ג ,7
בית זרע, ד ,8
בית חורון, ג ,7
בית חירות, א ,1
בית חלקיה, ב ,5
בית חנן, ב ,5
בית חנניה, א ,2
בית חשמונאי, ב ,5
בית יהושע, ב ,5
בית יוסף, ד ,8
בית ינאי, א ,1
בית יצחק-שער חפר, ב ,5
בית לחם הגלילית, ב ,3
בית מאיר, ג ,7
בית נחמיה, ב ,5
בית ניר, ב ,5
בית נקופה, ג ,7
בית עובד, ב ,5
בית עוזיאל, ב ,5
בית עזרא, ב ,5
בית עריף, ב ,5
בית צבי, א ,2
בית קמה, ב ,5
בית קשת, ב ,3
בית רבן, ב ,5
בית רימון, ב ,3
בית שאן, ד ,8
בית שמש, ב ,5
בית שערים, ב ,3
בית שקמה, ב ,5
ביתן אהרן, א ,1
ביתר עילית, ג ,7
בלפוריה, ב ,3
בן זכאי, ב ,5
בן עמי, ב ,5
בן שמן (כפר נוער), ב ,5
בן שמן (מושב), ב ,5
בני ברק, א ,1
בני דקלים, ב ,5
בני דרום, ב ,5
בני דרור, ב ,5
בני יהודה, ג ,6
בני נצרים, ב ,4
בני עטרות, ב ,5
"בני עי""ש", ב ,5
בני ציון, ב ,5
בני ראם, ב ,5
בניה, ב ,5
בנימינה-גבעת עדה, ב ,5
"בסמ""ה", ב ,5
בסמת טבעון, ב ,5
בענה, ב ,3
בצרה, ב ,5
בצת, ב ,5
בקוע, ב ,5
בקעות, ב ,4
בר גיורא, ג ,7
בר יוחאי, ג ,6
ברוכין, ב ,5
ברור חיל, ב ,5
ברוש, ב ,4
ברכה, ג ,7
ברכיה, ב ,5
ברעם, ג ,6
ברק, ב ,3
ברקאי, ב ,5
ברקן, ב ,5
ברקת, ב ,5
בת הדר, ב ,5
בת חן, א ,1
בת חפר, ב ,5
בת חצור, ב ,5
